year,building-type,benchmark-target,building-type-shorthand,unit,construction-delivery-type
2025,Commercial Resi - Student Residential,75.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2026,Commercial Resi - Student Residential,74.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2027,Commercial Resi - Student Residential,72.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2028,Commercial Resi - Student Residential,70.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2029,Commercial Resi - Student Residential,69.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2030,Commercial Resi - Student Residential,67.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2031,Commercial Resi - Student Residential,65.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2032,Commercial Resi - Student Residential,64.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2033,Commercial Resi - Student Residential,62.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2034,Commercial Resi - Student Residential,60.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2035,Commercial Resi - Student Residential,59.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2036,Commercial Resi - Student Residential,57.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2037,Commercial Resi - Student Residential,55.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2038,Commercial Resi - Student Residential,54.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2039,Commercial Resi - Student Residential,52.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2040,Commercial Resi - Student Residential,50.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2050,Commercial Resi - Student Residential,50.0,Stud. Resi.,kWh/m²GIA/yr,newbuild
2025,Commercial Resi - Care Home,150.0,Care Home,kWh/m²GIA/yr,newbuild
2026,Commercial Resi - Care Home,147.0,Care Home,kWh/m²GIA/yr,newbuild
2027,Commercial Resi - Care Home,144.0,Care Home,kWh/m²GIA/yr,newbuild
2028,Commercial Resi - Care Home,140.0,Care Home,kWh/m²GIA/yr,newbuild
2029,Commercial Resi - Care Home,137.0,Care Home,kWh/m²GIA/yr,newbuild
2030,Commercial Resi - Care Home,134.0,Care Home,kWh/m²GIA/yr,newbuild
2031,Commercial Resi - Care Home,130.0,Care Home,kWh/m²GIA/yr,newbuild
2032,Commercial Resi - Care Home,127.0,Care Home,kWh/m²GIA/yr,newbuild
2033,Commercial Resi - Care Home,124.0,Care Home,kWh/m²GIA/yr,newbuild
2034,Commercial Resi - Care Home,120.0,Care Home,kWh/m²GIA/yr,newbuild
2035,Commercial Resi - Care Home,117.0,Care Home,kWh/m²GIA/yr,newbuild
2036,Commercial Resi - Care Home,114.0,Care Home,kWh/m²GIA/yr,newbuild
2037,Commercial Resi - Care Home,110.0,Care Home,kWh/m²GIA/yr,newbuild
2038,Commercial Resi - Care Home,107.0,Care Home,kWh/m²GIA/yr,newbuild
2039,Commercial Resi - Care Home,104.0,Care Home,kWh/m²GIA/yr,newbuild
2040,Commercial Resi - Care Home,100.0,Care Home,kWh/m²GIA/yr,newbuild
2050,Commercial Resi - Care Home,100.0,Care Home,kWh/m²GIA/yr,newbuild
2025,Culture & Enterainment - Performance,80.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2026,Culture & Enterainment - Performance,79.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2027,Culture & Enterainment - Performance,77.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2028,Culture & Enterainment - Performance,75.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2029,Culture & Enterainment - Performance,74.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2030,Culture & Enterainment - Performance,72.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2031,Culture & Enterainment - Performance,70.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2032,Culture & Enterainment - Performance,69.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2033,Culture & Enterainment - Performance,67.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2034,Culture & Enterainment - Performance,65.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2035,Culture & Enterainment - Performance,64.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2036,Culture & Enterainment - Performance,62.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2037,Culture & Enterainment - Performance,60.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2038,Culture & Enterainment - Performance,59.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2039,Culture & Enterainment - Performance,57.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2040,Culture & Enterainment - Performance,55.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2050,Culture & Enterainment - Performance,55.0,C&E Perfor.,kWh/m²GIA/yr,newbuild
2025,Culture & Enterainment - Collection (e.g. museum),60.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2026,Culture & Enterainment - Collection (e.g. museum),59.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2027,Culture & Enterainment - Collection (e.g. museum),58.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2028,Culture & Enterainment - Collection (e.g. museum),56.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2029,Culture & Enterainment - Collection (e.g. museum),55.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2030,Culture & Enterainment - Collection (e.g. museum),54.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2031,Culture & Enterainment - Collection (e.g. museum),52.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2032,Culture & Enterainment - Collection (e.g. museum),51.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2033,Culture & Enterainment - Collection (e.g. museum),50.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2034,Culture & Enterainment - Collection (e.g. museum),48.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2035,Culture & Enterainment - Collection (e.g. museum),47.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2036,Culture & Enterainment - Collection (e.g. museum),46.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2037,Culture & Enterainment - Collection (e.g. museum),44.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2038,Culture & Enterainment - Collection (e.g. museum),43.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2039,Culture & Enterainment - Collection (e.g. museum),42.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2040,Culture & Enterainment - Collection (e.g. museum),40.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2050,Culture & Enterainment - Collection (e.g. museum),40.0,C&E Collec.,kWh/m²GIA/yr,newbuild
2025,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2026,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2027,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2028,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2029,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2030,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2031,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2032,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2033,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2034,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2035,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2036,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2037,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2038,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2039,Culture & Enterainment - Archive,5.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2040,Culture & Enterainment - Archive,4.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2050,Culture & Enterainment - Archive,4.0,C&E Arch.,kWh/m²GIA/yr,newbuild
2025,Data Centre - Low utilisation (d),1.4,Data Centre,PUE,newbuild
2026,Data Centre - Low utilisation (d),1.4,Data Centre,PUE,newbuild
2027,Data Centre - Low utilisation (d),1.39,Data Centre,PUE,newbuild
2028,Data Centre - Low utilisation (d),1.38,Data Centre,PUE,newbuild
2029,Data Centre - Low utilisation (d),1.38,Data Centre,PUE,newbuild
2030,Data Centre - Low utilisation (d),1.37,Data Centre,PUE,newbuild
2031,Data Centre - Low utilisation (d),1.36,Data Centre,PUE,newbuild
2032,Data Centre - Low utilisation (d),1.36,Data Centre,PUE,newbuild
2033,Data Centre - Low utilisation (d),1.35,Data Centre,PUE,newbuild
2034,Data Centre - Low utilisation (d),1.34,Data Centre,PUE,newbuild
2035,Data Centre - Low utilisation (d),1.34,Data Centre,PUE,newbuild
2036,Data Centre - Low utilisation (d),1.33,Data Centre,PUE,newbuild
2037,Data Centre - Low utilisation (d),1.32,Data Centre,PUE,newbuild
2038,Data Centre - Low utilisation (d),1.32,Data Centre,PUE,newbuild
2039,Data Centre - Low utilisation (d),1.31,Data Centre,PUE,newbuild
2040,Data Centre - Low utilisation (d),1.3,Data Centre,PUE,newbuild
2050,Data Centre - Low utilisation (d),1.3,Data Centre,PUE,newbuild
2025,Data Centre - High utilisation (d),1.2,Data Centre.1,PUE,newbuild
2026,Data Centre - High utilisation (d),1.2,Data Centre.1,PUE,newbuild
2027,Data Centre - High utilisation (d),1.19,Data Centre.1,PUE,newbuild
2028,Data Centre - High utilisation (d),1.18,Data Centre.1,PUE,newbuild
2029,Data Centre - High utilisation (d),1.18,Data Centre.1,PUE,newbuild
2030,Data Centre - High utilisation (d),1.17,Data Centre.1,PUE,newbuild
